demonicref,demonicsystemid,demonicid,caseref,demonic_type,demonic_text,createdby,createdate,lastupdatedby,lastupdatedon
DP/JO/384,JO,384,C/EGD/1375,Servant,,jhm,2001-10-19T12:05:48,jhm,2001-10-19T12:05:53
DP/JO/385,JO,385,C/EGD/1372,Servant,,jhm,2001-10-19T12:20:30,jhm,2001-10-19T12:20:31
DP/JO/386,JO,386,C/EGD/1372,Head and foot,,jhm,2001-10-19T12:20:36,jhm,2001-10-19T12:20:37
DP/JO/387,JO,387,C/EGD/1372,Body and soul,,jhm,2001-10-19T12:20:38,jhm,2001-10-19T12:20:39
DP/JO/388,JO,388,C/EGD/1372,New name,Madge,jhm,2001-10-19T12:20:41,jhm,2001-10-19T12:20:56
DP/JO/389,JO,389,C/EGD/1373,Servant,,jhm,2001-10-19T12:38:41,jhm,2001-10-19T12:38:42
DP/JO/390,JO,390,C/EGD/1373,Anti-baptism,,jhm,2001-10-19T12:38:47,jhm,2001-10-19T12:38:48
DP/JO/391,JO,391,C/EGD/1373,Head and foot,,jhm,2001-10-19T12:38:51,jhm,2001-10-19T12:38:52
DP/JO/392,JO,392,C/EGD/1373,Want nothing,,jhm,2001-10-19T12:38:59,jhm,2001-10-19T12:39:03
DP/JO/393,JO,393,C/EGD/1373,Sex,cold nature,jhm,2001-10-19T12:39:32,jhm,2001-10-19T12:41:00
DP/JO/394,JO,394,C/EGD/1373,New name,Magie,jhm,2001-10-19T12:39:44,jhm,2001-10-19T12:39:59
DP/JO/395,JO,395,C/JO/2905,Anti-baptism,,jhm,2001-10-19T12:59:41,jhm,2001-10-19T12:59:41
DP/JO/396,JO,396,C/JO/2905,Body and soul,,jhm,2001-10-19T12:59:44,jhm,2001-10-19T12:59:45
DP/JO/397,JO,397,C/JO/2905,Head and foot,,jhm,2001-10-19T12:59:46,jhm,2001-10-19T12:59:47
DP/JO/398,JO,398,C/JO/2905,Sex,nature cold,jhm,2001-10-19T12:59:49,jhm,2001-10-19T13:00:02
DP/JO/399,JO,399,C/JO/2905,Servant,,jhm,2001-10-19T13:00:03,jhm,2001-10-19T13:00:04
DP/JO/400,JO,400,C/EGD/1374,Anti-baptism,,jhm,2001-10-19T13:08:34,jhm,2001-10-19T13:08:35
DP/JO/401,JO,401,C/EGD/1374,Head and foot,,jhm,2001-10-19T13:08:37,jhm,2001-10-19T13:08:38
DP/JO/402,JO,402,C/EGD/1374,Body and soul,,jhm,2001-10-19T13:08:40,jhm,2001-10-19T13:08:52
DP/JO/403,JO,403,C/EGD/1374,Sex,nature cold,jhm,2001-10-19T13:08:42,jhm,2001-10-19T13:08:59
DP/JO/404,JO,404,C/EGD/1374,Servant,,jhm,2001-10-19T13:09:01,jhm,2001-10-19T13:09:02
