imprisonref,imprisonsystemid,imprisonid,trialref,centraltrialimprison,imprisondate,imprisondate_as_date,prison,location,moving,fate_in_prison,createdby,createdate,lastupdatedby,lastupdatedon
IM/JO/229,JO,229,T/JO/782,false,,,,Jedburgh,false,,jhm,2001-09-03T11:03:26,jhm,2002-10-11T16:18:30
IM/JO/23,JO,23,T/JO/102,false,,,,Haddington,false,,jhm,2001-06-14T14:43:33,LEM,2002-10-28T12:53:58
IM/JO/230,JO,230,T/JO/783,false,,,,Jedburgh,false,,jhm,2001-09-03T11:09:48,jhm,2002-10-11T16:18:49
IM/JO/231,JO,231,T/JO/784,false,,,,Jedburgh,false,,jhm,2001-09-03T11:13:45,jhm,2002-10-11T16:18:55
IM/JO/232,JO,232,T/JO/788,false,,,,Tyninghame,false,,jhm,2001-09-04T14:52:11,jhm,2002-10-18T10:54:48
IM/JO/233,JO,233,T/JO/789,false,,,,Tyninghame,false,,jhm,2001-09-04T15:06:52,jhm,2002-10-18T11:02:37
IM/JO/235,JO,235,T/JO/812,false,,,,,false,,jhm,2001-09-10T13:25:42,LEM,2002-10-28T12:59:13
IM/JO/236,JO,236,T/JO/813,false,,,,,false,,jhm,2001-09-10T13:30:28,LEM,2002-10-28T12:58:20
IM/JO/237,JO,237,T/JO/814,false,9/1661,1961-09-01T00:00:00,,,false,,jhm,2001-09-10T13:35:07,jhm,2001-09-10T13:35:10
IM/JO/238,JO,238,T/JO/815,false,9/1661,1961-09-01T00:00:00,,,false,,jhm,2001-09-10T13:40:30,jhm,2001-09-10T13:40:35
IM/JO/239,JO,239,T/JO/816,false,9/1661,1961-09-01T00:00:00,,,false,,jhm,2001-09-10T13:44:05,jhm,2001-09-10T13:44:08
IM/JO/24,JO,24,T/JO/104,false,,,,Haddington,false,,jhm,2001-06-14T15:01:22,LEM,2002-10-28T12:53:40
IM/JO/240,JO,240,T/JO/817,false,9/1661,1961-09-01T00:00:00,,,false,,jhm,2001-09-10T13:48:26,jhm,2001-09-10T13:48:29
IM/JO/241,JO,241,T/JO/818,false,9/1661,1961-09-01T00:00:00,,,false,,jhm,2001-09-10T13:51:49,jhm,2001-09-10T13:51:52
IM/JO/243,JO,243,T/LA/402,false,9/1661,1961-09-01T00:00:00,,,false,Released,jhm,2001-09-10T14:15:08,jhm,2001-09-24T14:00:29
